age,height_cm,weight_kg,nationality,club,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,average_skill,average_attacking,average_movement,average_power,average_mentality,average_defending,average_goalkeeping,short_name,long_name
24,185,80,France,Paris Saint-Germain,300000,"LW, ST",96.0,89.0,82.0,88.0,40.0,75.0,87.4,89.0,92.0,77.6,76.0,32.0,10.6,K. Mbappé,Kylian Mbappé
29,182,78,Egypt,Liverpool FC,250000,"RW, ST",92.0,88.0,83.0,90.0,45.0,70.0,86.4,88.2,90.6,74.2,72.0,34.0,11.0,M. Salah,Mohamed Salah
27,183,81,Poland,Bayern Munich,320000,"ST, CF",88.0,92.0,80.0,85.0,42.0,75.0,85.4,89.6,87.6,80.0,74.0,38.0,15.0,R. Lewandowski,Robert Lewandowski
27,175,68,Brazil,Paris Saint-Germain,290000,"LW, CAM",91.0,85.0,87.0,95.0,32.0,58.0,89.4,82.0,91.0,71.0,74.66666666666667,27.333333333333332,11.8,Neymar Jr,Neymar da Silva Santos Junior
26,188,87,Slovenia,Atlético Madrid,125000,GK,,,,,,,21.8,19.0,61.4,53.6,34.666666666666664,19.0,87.2,J. Oblak,Jan Oblak
28,175,74,Belgium,Real Madrid,470000,"LW, CF",91.0,83.0,86.0,94.0,35.0,66.0,86.8,79.6,92.2,73.0,75.0,27.666666666666668,9.0,E. Hazard,Eden Hazard
28,181,70,Belgium,Manchester City,370000,"CAM, CM",76.0,86.0,92.0,86.0,61.0,78.0,87.2,80.8,79.6,81.4,81.5,59.0,11.2,K. De Bruyne,Kevin De Bruyne
27,187,85,Germany,FC Barcelona,250000,GK,,,,,,,28.8,23.6,50.8,53.6,40.166666666666664,16.0,87.8,M. ter Stegen,Marc-André ter Stegen
27,193,92,Netherlands,Liverpool,200000,CB,77.0,60.0,70.0,71.0,90.0,86.0,71.4,62.8,71.0,80.4,72.33333333333333,89.33333333333333,11.6,V. van Dijk,Virgil van Dijk
33,172,66,Croatia,Real Madrid,340000,CM,74.0,76.0,89.0,89.0,72.0,66.0,86.0,76.2,84.4,74.4,81.33333333333333,71.66666666666667,10.4,L. Modrić,Luka Modrić
27,175,71,Egypt,Liverpool,240000,"RW, ST",93.0,86.0,81.0,89.0,45.0,74.0,81.0,78.2,91.4,78.2,77.0,40.666666666666664,12.4,M. Salah,Mohamed  Salah Ghaly
20,178,73,France,Paris Saint-Germain,155000,"ST, RW",96.0,84.0,78.0,90.0,39.0,75.0,78.6,81.0,91.2,79.6,70.5,33.333333333333336,8.4,K. Mbappé,Kylian Mbappé
28,187,89,Senegal,Napoli,150000,CB,71.0,28.0,54.0,67.0,89.0,87.0,51.8,44.0,64.2,63.8,62.833333333333336,89.33333333333333,8.6,K. Koulibaly,Kalidou Koulibaly
25,188,89,England,Tottenham Hotspur,220000,ST,70.0,91.0,79.0,81.0,47.0,83.0,78.6,84.2,75.0,85.2,78.0,43.333333333333336,10.8,H. Kane,Harry Kane
26,191,91,Brazil,Liverpool,155000,GK,,,,,,,27.6,22.8,53.6,48.0,34.166666666666664,16.666666666666668,86.6,Alisson,Alisson Ramses Becker
28,192,82,Spain,Manchester United,205000,GK,,,,,,,28.6,22.8,61.6,48.6,40.333333333333336,19.666666666666668,86.4,De Gea,David De Gea Quintana
28,168,72,France,Chelsea,235000,"CDM, CM",78.0,65.0,77.0,81.0,87.0,83.0,67.6,65.8,84.6,76.2,78.66666666666667,88.66666666666667,10.8,N. Kanté,N'Golo Kanté
34,187,85,Italy,Juventus,215000,CB,68.0,46.0,58.0,60.0,90.0,82.0,55.2,56.0,66.0,72.8,65.16666666666667,91.33333333333333,3.0,G. Chiellini,Giorgio Chiellini
31,173,70,Argentina,Manchester City,300000,ST,80.0,90.0,77.0,88.0,33.0,74.0,79.4,81.8,85.4,81.4,73.0,27.666666666666668,11.8,S. Agüero,Sergio Leonel Agüero del Castillo
33,184,82,Spain,Real Madrid,300000,CB,72.0,68.0,75.0,73.0,87.0,85.0,75.4,74.0,75.2,79.8,81.0,87.33333333333333,9.2,Sergio Ramos,Sergio Ramos García
32,182,86,Uruguay,FC Barcelona,355000,ST,73.0,89.0,80.0,84.0,51.0,84.0,81.8,84.8,79.2,82.2,78.33333333333333,46.666666666666664,30.6,L. Suárez,Luis Alberto Suárez Díaz
30,184,80,Poland,FC Bayern München,235000,ST,77.0,87.0,74.0,85.0,41.0,82.0,80.0,81.0,80.8,83.4,76.66666666666667,31.666666666666668,10.2,R. Lewandowski,Robert Lewandowski
30,189,76,Spain,FC Barcelona,300000,"CDM, CM",42.0,62.0,80.0,80.0,85.0,80.0,76.8,66.0,57.2,68.8,81.66666666666667,85.33333333333333,9.6,Sergio Busquets,Sergio Busquets i Burgos
28,176,73,France,FC Barcelona,370000,"CF, ST, LW",81.0,86.0,84.0,89.0,57.0,72.0,86.2,85.6,85.6,80.8,78.83333333333333,54.0,12.6,A. Griezmann,Antoine Griezmann
25,177,75,Argentina,Juventus,215000,"CAM, RW",83.0,82.0,84.0,90.0,43.0,64.0,86.8,80.2,85.4,76.2,71.16666666666667,40.0,5.2,P. Dybala,Paulo Bruno Exequiel Dybala
26,191,84,France,Manchester United,250000,"CM, CDM",74.0,81.0,86.0,85.0,66.0,86.0,86.8,80.0,73.8,86.0,80.5,65.0,4.0,P. Pogba,Paul Pogba
25,188,86,Brazil,Manchester City,185000,GK,,,,,,,31.2,24.4,64.4,52.6,40.333333333333336,17.333333333333332,87.0,Ederson,Ederson Santana de Moraes
24,170,69,England,Manchester City,255000,"RW, LW",93.0,79.0,78.0,89.0,45.0,57.0,76.8,70.0,92.8,68.6,64.33333333333333,49.0,12.6,R. Sterling,Raheem Sterling
27,181,76,Denmark,Tottenham Hotspur,205000,"CAM, CM",73.0,81.0,90.0,84.0,53.0,63.0,87.2,77.6,78.6,74.6,72.33333333333333,46.0,8.6,C. Eriksen,Christian  Dannemann Eriksen
27,199,96,Belgium,Real Madrid,235000,GK,,,,,,,22.0,17.2,57.4,49.4,31.333333333333332,18.0,83.6,T. Courtois,Thibaut Courtois
32,194,85,Spain,FC Barcelona,285000,CB,56.0,61.0,72.0,68.0,88.0,80.0,65.4,69.4,57.8,69.0,76.16666666666667,88.0,11.6,Piqué,Gerard Piqué Bernabéu
34,193,92,Slovenia,Inter,110000,GK,,,,,,,17.6,16.0,54.4,52.2,32.0,16.0,84.0,S. Handanovič,Samir Handanovič
33,193,92,Germany,FC Bayern München,155000,GK,,,,,,,32.0,23.8,56.8,56.8,43.0,12.666666666666666,87.4,M. Neuer,Manuel Neuer
32,188,82,France,Tottenham Hotspur,150000,GK,,,,,,,23.0,18.8,64.4,44.6,33.833333333333336,19.0,82.8,H. Lloris,Hugo Lloris
33,173,67,Spain,Manchester City,265000,"CAM, CM",65.0,74.0,88.0,89.0,52.0,57.0,84.4,76.8,78.8,66.0,75.5,47.0,9.2,David Silva,David Josué Jiménez Silva
32,185,77,Uruguay,Paris Saint-Germain,195000,ST,75.0,86.0,72.0,79.0,55.0,83.0,73.0,83.0,74.8,85.0,78.83333333333333,48.0,10.6,E. Cavani,Edinson Roberto Cavani Gómez
33,187,78,Uruguay,Inter,135000,CB,60.0,48.0,64.0,61.0,89.0,83.0,59.0,61.6,62.4,70.8,67.83333333333333,88.66666666666667,9.8,D. Godín,Diego Godín
29,183,76,Germany,Real Madrid,330000,CM,45.0,80.0,90.0,81.0,70.0,69.0,86.2,78.8,61.8,70.0,76.83333333333333,68.0,10.2,T. Kroos,Toni Kroos
30,180,71,Germany,Borussia Dortmund,170000,"CAM, LM, ST",85.0,88.0,84.0,87.0,45.0,66.0,85.4,78.8,85.4,77.8,74.83333333333333,43.666666666666664,12.2,M. Reus,Marco Reus
30,187,80,Gabon,Arsenal,205000,"ST, LM",94.0,85.0,75.0,80.0,37.0,69.0,75.8,81.2,84.0,78.4,69.83333333333333,29.333333333333332,9.6,P. Aubameyang,Pierre-Emerick Aubameyang
27,175,69,Senegal,Liverpool,220000,"LW, LM",94.0,83.0,77.0,89.0,44.0,74.0,77.4,79.6,91.2,79.8,73.0,40.666666666666664,11.2,S. Mané,Sadio Mané
25,189,85,France,Manchester City,195000,"CB, LB",64.0,50.0,71.0,68.0,88.0,82.0,70.0,62.0,66.6,71.2,69.0,88.33333333333333,9.0,A. Laporte,Aymeric  Laporte
24,173,64,Portugal,Manchester City,210000,"RW, CAM, CM",81.0,76.0,83.0,92.0,51.0,67.0,81.8,73.8,86.8,69.4,73.83333333333333,49.333333333333336,10.8,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva
27,185,84,Brazil,Real Madrid,240000,CDM,62.0,72.0,75.0,72.0,85.0,89.0,73.2,68.4,67.6,86.4,78.5,85.66666666666667,13.4,Casemiro,Carlos Henrique Venancio Casimiro
26,183,78,Korea Republic,Tottenham Hotspur,185000,"CF, LM",88.0,86.0,80.0,87.0,42.0,68.0,80.0,79.2,85.2,78.0,71.0,38.333333333333336,10.6,H. Son,손흥민 孙兴慜
34,179,67,Brazil,Manchester City,200000,CDM,66.0,74.0,79.0,78.0,84.0,79.0,76.8,72.6,73.4,78.8,77.66666666666667,84.33333333333333,9.6,Fernandinho,Fernando Luiz Rosa
34,183,82,Brazil,Paris Saint-Germain,135000,CB,62.0,54.0,72.0,72.0,87.0,78.0,70.0,64.4,68.0,75.6,73.5,87.0,9.0,Thiago Silva,Thiago Emiliano da Silva
31,185,81,France,Real Madrid,285000,"CF, ST",76.0,82.0,80.0,86.0,39.0,77.0,80.4,82.0,76.8,78.8,74.5,29.666666666666668,8.2,K. Benzema,Karim Benzema
32,189,86,Belgium,Tottenham Hotspur,155000,CB,63.0,63.0,74.0,72.0,87.0,79.0,71.6,67.8,66.0,77.0,74.5,88.0,8.8,J. Vertonghen,Jan Vertonghen
32,169,61,Belgium,Napoli,135000,"CF, ST",88.0,83.0,80.0,91.0,35.0,53.0,83.0,71.4,90.0,66.4,70.83333333333333,35.0,7.8,D. Mertens,Dries Mertens
30,191,94,Germany,Borussia Dortmund,130000,CB,51.0,58.0,76.0,72.0,89.0,76.0,70.4,69.4,62.2,68.0,75.33333333333333,88.33333333333333,8.4,M. Hummels,Mats  Hummels
30,186,81,Belgium,Tottenham Hotspur,155000,CB,64.0,55.0,72.0,66.0,88.0,79.0,70.8,61.6,64.6,75.4,71.5,88.66666666666667,13.2,T. Alderweireld,Toby Alderweireld
30,170,68,Spain,FC Barcelona,240000,LB,90.0,69.0,81.0,83.0,79.0,73.0,77.6,74.8,88.0,72.8,77.0,80.33333333333333,12.0,Jordi Alba,Jordi Alba Ramos
28,174,70,Spain,FC Bayern München,180000,"CM, CAM, CDM",69.0,74.0,85.0,90.0,69.0,63.0,86.0,75.4,81.0,73.0,77.66666666666667,68.33333333333333,9.2,Thiago,Thiago Alcântara do Nascimento
32,185,80,Costa Rica,Real Madrid,195000,GK,,,,,,,19.6,15.6,62.4,51.4,38.0,18.666666666666668,83.6,K. Navas,Keylor Navas
28,163,59,Italy,Napoli,140000,"CF, LW, ST",89.0,79.0,85.0,91.0,35.0,47.0,85.0,76.6,90.0,65.6,64.16666666666667,31.666666666666668,9.0,L. Insigne,Lorenzo Insigne
23,183,75,Germany,Manchester City,195000,LW,95.0,81.0,79.0,86.0,38.0,70.0,80.4,80.2,87.2,75.4,68.66666666666667,34.333333333333336,10.4,L. Sané,Leroy Sané
25,183,75,Brazil,Paris Saint-Germain,120000,"CB, CDM",74.0,41.0,73.0,70.0,86.0,77.0,62.4,59.6,74.0,67.2,71.0,86.66666666666667,9.4,Marquinhos,Marcos  Aoás Corrêa
24,187,80,Slovakia,Inter,89000,CB,69.0,41.0,59.0,66.0,87.0,82.0,53.8,55.4,64.2,63.6,66.0,87.33333333333333,11.0,M. Škriniar,Milan Škriniar
26,165,60,Italy,Paris Saint-Germain,140000,"CM, CDM",65.0,60.0,84.0,90.0,79.0,66.0,81.2,68.8,80.0,61.4,81.66666666666667,81.0,12.8,M. Verratti,Marco Verratti
25,182,75,France,FC Barcelona,210000,CB,69.0,63.0,69.0,69.0,86.0,82.0,69.6,67.2,69.6,80.4,70.16666666666667,86.66666666666667,13.2,S. Umtiti,Samuel Umtiti
29,195,90,Poland,Juventus,135000,GK,,,,,,,19.8,17.2,57.2,50.0,33.333333333333336,15.0,82.8,W. Szczęsny,Wojciech  Szczęsny
24,176,73,Germany,FC Bayern München,125000,"RB, CM, CDM",72.0,69.0,86.0,84.0,79.0,78.0,79.8,77.0,80.0,77.2,76.5,79.0,12.0,J. Kimmich,Joshua Kimmich
27,176,79,Spain,Real Madrid,245000,"CAM, CM, LW",71.0,77.0,83.0,91.0,59.0,60.0,85.8,72.6,78.6,67.0,74.5,57.666666666666664,10.2,Isco,Francisco Román Alarcón Suárez
27,181,76,Brazil,Liverpool,170000,"CF, ST, CAM",77.0,82.0,80.0,87.0,61.0,78.0,79.4,80.4,80.4,80.0,77.33333333333333,55.333333333333336,8.8,Roberto Firmino,Roberto Firmino Barbosa de Oliveira
31,184,78,Croatia,FC Barcelona,245000,"CM, CDM",62.0,81.0,86.0,81.0,74.0,70.0,85.4,78.2,68.0,70.6,78.33333333333333,73.66666666666667,10.2,I. Rakitić,Ivan Rakitić
29,178,72,Bosnia Herzegovina,Juventus,180000,"CM, CDM",68.0,68.0,87.0,85.0,75.0,67.0,88.0,71.8,75.2,72.0,78.16666666666667,74.66666666666667,8.4,M. Pjanić,Miralem Pjanić
31,180,69,Argentina,Paris Saint-Germain,150000,"RW, LW",84.0,79.0,84.0,87.0,48.0,68.0,85.8,74.6,84.4,75.4,73.66666666666667,49.333333333333336,10.2,A. Di María,Ángel Fabián Di María Hernández
32,190,85,Italy,Juventus,160000,CB,58.0,58.0,69.0,70.0,87.0,79.0,69.2,62.2,63.0,74.8,73.33333333333333,85.33333333333333,2.6,L. Bonucci,Leonardo Bonucci
27,172,68,Brazil,FC Bayern München,175000,"LW, CM",79.0,80.0,84.0,90.0,52.0,64.0,87.8,73.2,85.2,73.2,70.83333333333333,52.0,9.6,Coutinho,Philippe Coutinho Correia
30,182,74,Spain,Valencia CF,69000,CM,41.0,80.0,88.0,79.0,70.0,69.0,86.2,77.6,59.6,71.4,79.0,67.33333333333333,9.6,Parejo,Daniel Parejo Muñoz
29,186,75,Germany,FC Bayern München,170000,"CAM, RM, RW",72.0,83.0,79.0,78.0,55.0,71.0,73.8,82.4,76.0,77.6,73.33333333333333,49.0,10.4,T. Müller,Thomas Müller
29,185,85,Italy,Lazio,105000,ST,80.0,85.0,63.0,81.0,39.0,76.0,67.2,76.4,76.8,79.0,72.0,33.0,9.4,C. Immobile,Ciro Immobile
28,175,73,France,Arsenal,165000,ST,82.0,85.0,75.0,86.0,40.0,74.0,77.8,78.4,84.0,78.4,74.83333333333333,33.666666666666664,7.4,A. Lacazette,Alexandre Lacazette
19,189,89,Netherlands,Juventus,76000,CB,67.0,58.0,66.0,68.0,83.0,84.0,63.4,60.6,66.4,79.0,65.5,82.66666666666667,11.2,M. de Ligt,Matthijs de Ligt
20,196,90,Italy,Milan,34000,GK,,,,,,,21.2,15.6,56.2,50.4,35.333333333333336,16.666666666666668,82.8,G. Donnarumma,Gianluigi Donnarumma
22,180,74,Netherlands,FC Barcelona,195000,"CM, CDM",79.0,64.0,84.0,87.0,76.0,76.0,82.2,72.8,81.6,72.4,74.0,75.66666666666667,9.8,F. de Jong,Frenkie de Jong
26,191,81,France,Real Madrid,205000,CB,83.0,45.0,62.0,63.0,85.0,80.0,61.2,55.2,69.8,68.4,64.83333333333333,86.0,10.0,R. Varane,Raphaël Varane
23,195,97,Germany,FC Bayern München,115000,CB,72.0,42.0,55.0,50.0,86.0,82.0,46.6,50.6,57.6,67.8,56.166666666666664,87.0,11.6,N. Süle,Niklas Süle
24,191,76,Serbia,Lazio,73000,"CM, CAM",67.0,79.0,80.0,83.0,77.0,84.0,82.2,77.8,67.4,84.2,75.5,74.66666666666667,9.4,S. Milinković-Savić,Sergej Milinković-Savić
23,191,82,Spain,Manchester City,150000,"CDM, CM",67.0,68.0,77.0,77.0,82.0,80.0,71.8,69.2,71.4,76.6,74.66666666666667,81.33333333333333,9.8,Rodri,Rodrigo Hernández Cascante
24,184,77,Spain,Atlético Madrid,77000,"CM, LM, RM",70.0,78.0,79.0,81.0,78.0,78.0,76.2,78.2,73.0,81.0,75.0,77.33333333333333,10.2,Saúl,Saúl Ñíguez Esclápez
25,188,78,Brazil,Liverpool,125000,CDM,68.0,69.0,78.0,77.0,85.0,83.0,72.8,69.2,70.4,77.4,82.66666666666667,85.0,9.4,Fabinho,Fábio Henrique Tavares
25,178,64,Scotland,Liverpool,125000,LB,85.0,62.0,77.0,79.0,80.0,75.0,67.6,64.0,81.0,72.0,74.83333333333333,81.33333333333333,10.0,A. Robertson,Andrew Robertson
24,185,80,Uruguay,Atlético Madrid,69000,CB,69.0,45.0,52.0,54.0,86.0,82.0,50.4,52.8,61.8,72.2,56.333333333333336,86.66666666666667,10.4,J. Giménez,José María Giménez de Vargas
24,186,81,France,FC Barcelona,175000,CB,75.0,45.0,68.0,65.0,86.0,80.0,59.6,58.8,71.4,69.4,69.66666666666667,84.66666666666667,9.6,C. Lenglet,Clément Lenglet
24,179,69,Portugal,Sporting CP,24000,"CAM, CM",77.0,83.0,87.0,85.0,65.0,74.0,86.4,78.6,79.2,81.6,80.83333333333333,62.333333333333336,12.6,Bruno Fernandes,Bruno Miguel Borges Fernandes
28,184,81,Portugal,Olympique Lyonnais,88000,GK,,,,,,,19.2,19.6,68.0,53.0,34.333333333333336,13.666666666666666,83.0,A. Lopes,Anthony Lopes
29,192,86,Hungary,RB Leipzig,69000,GK,,,,,,,19.6,17.6,50.2,49.8,29.833333333333332,20.333333333333332,84.2,P. Gulácsi,Péter Gulácsi
28,187,85,Switzerland,Borussia Dortmund,92000,GK,,,,,,,16.8,18.0,56.4,50.8,31.833333333333332,13.333333333333334,82.4,R. Bürki,Roman Bürki
26,190,94,Belgium,Inter,115000,ST,75.0,82.0,73.0,72.0,35.0,84.0,72.6,78.6,66.6,80.4,69.33333333333333,30.0,10.8,R. Lukaku,Romelu Lukaku
28,189,83,Greece,Napoli,105000,CB,82.0,25.0,42.0,60.0,86.0,81.0,44.0,41.6,74.8,58.4,55.0,87.66666666666667,9.8,K. Manolas,Kostas Manolas
29,190,84,Brazil,FC Barcelona,175000,GK,,,,,,,21.8,17.6,59.0,53.2,32.333333333333336,15.333333333333334,82.0,Neto,Norberto Murara Neto
27,180,78,Austria,FC Bayern München,135000,"LB, CB",83.0,73.0,81.0,80.0,80.0,76.0,80.6,73.8,81.0,81.4,77.16666666666667,80.0,10.0,D. Alaba,David Olatukunbo Alaba
26,181,75,Argentina,Inter,115000,ST,75.0,84.0,61.0,77.0,36.0,69.0,62.4,76.2,77.4,77.6,65.83333333333333,29.666666666666668,8.6,M. Icardi,Mauro Emanuel Icardi Rivero
27,173,73,Spain,Real Madrid,205000,RB,81.0,47.0,78.0,81.0,82.0,80.0,71.4,62.4,81.6,69.0,73.83333333333333,83.66666666666667,13.0,Carvajal,Daniel Carvajal Ramos
26,181,65,Morocco,Ajax,39000,"CAM, RW",80.0,75.0,86.0,83.0,50.0,66.0,84.6,74.0,81.6,67.2,73.33333333333333,46.666666666666664,10.2,H. Ziyech,Hakim Ziyech
37,195,95,Sweden,LA Galaxy,15000,ST,56.0,88.0,77.0,77.0,34.0,78.0,78.4,80.8,61.0,78.4,76.33333333333333,29.666666666666668,11.8,Z. Ibrahimović,Zlatan Ibrahimović
31,165,68,Argentina,Atalanta,92000,"CAM, CF, ST",89.0,78.0,81.0,86.0,39.0,55.0,80.4,70.2,89.2,68.2,69.83333333333333,38.0,9.2,A. Gómez,Alejandro Darío Gómez
31,186,89,Argentina,Juventus,175000,ST,63.0,85.0,71.0,80.0,31.0,71.0,72.0,79.2,70.6,77.6,65.0,25.0,7.8,G. Higuaín,Gonzalo Gerardo Higuaín
32,180,75,France,Juventus,145000,"CDM, CM",75.0,66.0,76.0,78.0,83.0,81.0,68.8,71.4,79.2,78.6,76.0,85.0,9.6,B. Matuidi,Blaise Matuidi
29,185,82,Wales,Real Madrid,250000,"RW, LW, ST",91.0,87.0,82.0,82.0,58.0,76.0,84.8,84.0,81.0,84.2,74.83333333333333,53.666666666666664,10.4,G. Bale,Gareth Frank Bale
31,174,75,Brazil,Real Madrid,205000,LB,81.0,74.0,83.0,89.0,77.0,79.0,81.8,77.0,83.6,77.2,78.16666666666667,77.33333333333333,7.2,Marcelo,Marcelo Vieira da Silva Júnior
30,186,81,Belgium,Borussia Dortmund,110000,"CDM, CM",73.0,74.0,80.0,79.0,83.0,81.0,76.6,77.4,74.4,78.6,80.33333333333333,83.33333333333333,7.2,A. Witsel,Axel  Witsel
28,180,80,Brazil,Juventus,155000,"LB, LM",83.0,65.0,77.0,80.0,82.0,82.0,73.8,72.8,81.0,80.0,74.33333333333333,83.0,8.0,Alex Sandro,Alex Sandro Lobo Silva
31,176,67,Spain,RC Celta,49000,"ST, RW",78.0,84.0,77.0,85.0,35.0,64.0,79.0,81.6,80.0,71.6,72.33333333333333,26.0,12.4,Iago Aspas,Iago Aspas Juncal
27,176,74,Spain,Atlético Madrid,88000,"RM, LM, CM",68.0,75.0,86.0,82.0,74.0,79.0,83.0,72.8,75.0,79.0,78.0,72.0,10.8,Koke,Jorge Resurrección Merodio
27,180,75,Colombia,Real Madrid,225000,"CAM, CM, RM",55.0,86.0,87.0,86.0,50.0,63.0,86.6,82.2,70.2,70.6,74.83333333333333,45.666666666666664,12.8,J. Rodríguez,James David Rodríguez Rubio
28,175,74,Brazil,Napoli,110000,CM,75.0,71.0,78.0,84.0,85.0,84.0,72.2,69.0,81.4,76.8,79.33333333333333,87.33333333333333,8.8,Allan,Allan Marques Loureiro
19,180,76,England,Borussia Dortmund,61000,"RM, LM",88.0,72.0,77.0,90.0,36.0,60.0,73.6,71.2,88.2,63.4,61.666666666666664,37.0,10.4,J. Sancho,Jadon Sancho
20,188,83,Germany,Bayer 04 Leverkusen,70000,"CAM, RM",84.0,78.0,79.0,84.0,44.0,65.0,76.2,78.6,79.8,72.8,66.16666666666667,41.0,9.4,K. Havertz,Kai Havertz
22,178,67,France,FC Barcelona,195000,"RW, LW",93.0,79.0,80.0,87.0,36.0,57.0,79.2,72.8,87.4,68.2,67.16666666666667,35.0,9.8,O. Dembélé,Ousmane Dembélé
24,186,85,Spain,Chelsea,92000,GK,,,,,,,24.6,24.6,45.0,47.6,33.0,17.666666666666668,83.4,Kepa,Kepa Arrizabalaga
25,182,74,Portugal,Manchester City,150000,RB,90.0,65.0,80.0,84.0,78.0,71.0,79.0,71.0,84.8,74.4,72.5,79.66666666666667,11.6,João Cancelo,João Pedro Cavaco Cancelo
23,188,80,England,Tottenham Hotspur,115000,"CAM, CM",72.0,81.0,79.0,82.0,71.0,79.0,78.4,79.2,73.4,78.0,81.66666666666667,67.66666666666667,8.2,D. Alli,Bamidele Alli
23,182,76,France,FC Bayern München,110000,"CB, LB",81.0,54.0,70.0,71.0,83.0,82.0,61.0,67.6,77.0,72.0,68.66666666666667,83.66666666666667,9.8,L. Hernández,Lucas Hernández
22,171,73,Brazil,FC Barcelona,180000,CM,69.0,71.0,81.0,86.0,73.0,70.0,78.0,69.6,77.8,71.0,76.83333333333333,74.0,11.0,Arthur,Arthur Henrique Ramos Oliveira Melo
25,176,78,Netherlands,Olympique Lyonnais,110000,"CF, LW, CAM",87.0,80.0,81.0,84.0,32.0,78.0,83.2,76.0,82.6,80.2,70.0,26.666666666666668,10.0,M. Depay,Memphis Depay
24,189,79,Germany,FC Bayern München,120000,"CM, CAM, CDM",81.0,77.0,80.0,81.0,75.0,79.0,79.0,76.6,78.4,79.4,76.66666666666667,73.0,11.2,L. Goretzka,Leon Goretzka
23,185,83,Germany,Borussia Dortmund,94000,"CAM, LM, RM",82.0,78.0,81.0,85.0,40.0,68.0,77.6,74.8,81.2,75.2,63.666666666666664,36.666666666666664,11.0,J. Brandt,Julian Brandt
23,179,75,France,FC Bayern München,120000,"LM, RM, LW",92.0,76.0,77.0,87.0,29.0,60.0,80.0,72.4,88.4,71.8,61.166666666666664,25.666666666666668,4.2,K. Coman,Kingsley Coman
23,175,75,Germany,FC Bayern München,120000,"RM, LM, LW",90.0,82.0,75.0,86.0,43.0,69.0,74.2,72.6,87.4,74.8,67.66666666666667,44.0,10.0,S. Gnabry,Serge Gnabry
25,173,75,France,Real Betis,40000,CAM,78.0,82.0,81.0,88.0,33.0,77.0,83.0,74.8,81.4,77.2,71.0,31.0,12.2,N. Fekir,Nabil Fekir
27,190,83,Germany,Arsenal,91000,GK,,,,,,,21.0,17.2,57.2,51.4,33.333333333333336,20.0,82.2,B. Leno,Bernd Leno
